GEOID,total_population,opportunity_score,economic_score,health_score,housing_score,tier
17031841500,1909,43.28,55.68,35.4,20.35,Low
17031838700,3737,40.38,57.28,22.72,25.22,Low
17031150501,3854,75.69,80.21,78.24,54.7,High
17031150401,5146,70.34,77.29,69.49,49.18,High
17031150502,3953,71.54,79.0,69.99,50.29,High
17031110502,3533,72.8,78.7,75.07,47.84,High
17031150402,3945,69.35,77.62,67.51,46.08,High
17031140302,3311,65.95,75.29,67.34,31.6,High
17031140301,2908,56.83,71.37,50.3,23.59,Moderate
17031700302,6003,66.15,70.52,58.47,69.52,High
17031580501,4716,59.96,68.13,57.96,37.41,Moderate
17031580502,4932,57.48,68.3,48.99,41.23,Moderate
17031730201,5671,60.87,70.71,53.65,44.92,Moderate
17031301802,2623,54.09,69.72,42.4,29.24,Moderate
17031440101,3986,42.09,56.62,32.27,16.53,Low
17031301701,4205,57.67,67.99,48.69,44.22,Moderate
17031804509,6440,65.68,72.63,56.46,64.01,High
17031804511,2234,62.82,71.62,64.74,29.02,Moderate
17031804609,5993,79.17,82.33,84.8,55.51,High
17031804608,3634,77.11,82.93,80.2,50.5,High
17031806202,4939,71.89,78.39,70.52,53.45,High
17031839100,8227,80.12,85.49,87.33,45.39,Very High
17031833100,8469,85.27,89.54,87.85,65.01,Very High
17031838100,1501,56.12,68.95,55.9,13.87,Moderate
17031833300,2686,72.73,78.44,84.49,26.28,High
17031838200,1834,73.84,78.43,85.27,31.85,High
17031140702,5572,66.77,77.05,64.42,38.01,High
17031140602,4703,60.07,69.32,58.95,31.85,Moderate
17031140701,2990,66.96,78.09,66.56,30.77,High
17031160502,4012,69.09,79.46,65.8,42.22,High
17031160602,3757,71.72,79.84,72.36,43.15,High
17031151002,4892,64.15,73.03,61.53,40.68,Moderate
17031151001,2816,65.05,74.14,62.47,40.75,High
17031190402,4896,62.45,73.04,55.81,42.61,Moderate
17031431301,3555,45.43,64.48,29.43,19.27,Moderate
17031431302,3788,41.3,53.31,34.32,17.58,Low
17031460302,4212,53.39,61.17,47.67,40.77,Moderate
17031460301,3189,50.37,60.58,40.69,38.95,Moderate
17031700501,6565,59.65,68.85,45.46,62.06,Moderate
17031700502,3656,67.5,74.36,61.69,58.24,High
17031210601,2818,68.33,78.83,67.62,35.01,High
17031812302,2818,79.75,86.52,82.59,50.54,High
17031812802,2826,74.42,83.97,79.06,31.76,High
17031812801,3398,70.32,79.37,74.07,31.38,High
17031812301,5184,76.94,84.58,84.09,34.81,High
17031813802,4386,60.14,70.89,52.21,42.8,Moderate
17031813701,2896,58.39,68.41,56.5,29.39,Moderate
17031820603,5255,64.2,68.33,60.49,59.1,Moderate
17031841100,6990,66.3,74.14,63.57,46.51,High
17031840200,2198,60.53,68.34,59.04,37.96,Moderate
17031841300,4317,66.89,76.44,64.74,40.06,High
17031840700,3930,68.67,77.52,67.85,41.12,High
17031841700,1137,51.64,64.79,48.52,15.1,Moderate
17031190602,5554,64.96,72.65,58.32,54.83,Moderate
17031190401,4119,68.46,74.66,65.01,55.84,High
17031190702,4707,56.24,68.09,45.83,41.02,Moderate
17031191302,4439,59.24,73.23,46.16,43.11,Moderate
17031190601,3986,63.51,72.5,56.3,50.37,Moderate
17031191301,5211,61.13,72.77,51.38,45.08,Moderate
17031200402,5072,62.73,74.41,55.18,41.41,Moderate
17031200401,3408,58.66,70.02,52.69,34.74,Moderate
17031220902,3194,63.97,75.8,60.58,32.46,Moderate
17031210501,2866,61.1,71.86,61.14,25.14,Moderate
17031160601,3003,74.45,83.3,77.03,38.94,High
17031061901,3517,72.21,80.09,81.83,23.48,High
17031840800,3258,51.34,64.45,40.31,33.34,Moderate
17031030703,3093,65.65,73.67,72.26,23.52,High
17031081403,8987,81.54,89.12,86.82,43.98,Very High
17031030702,2266,71.51,75.99,79.28,38.45,High
17031440102,3320,50.48,64.73,42.07,22.59,Moderate
17031440202,2763,56.26,66.25,54.81,26.33,Moderate
17031824113,6703,79.38,80.69,79.57,74.6,High
17031825304,4192,72.29,76.48,71.82,59.4,High
