GEOID,median_household_income,median_home_value,total_population,poverty_rate,unemployment_rate,college_rate,renter_rate,uninsured_pct,diabetes_pct,physical_inactivity_pct,poor_mental_health_pct,obesity_pct
17031030101,50696,249900,3517,0.20500426499857832,0.21227115289460663,0.4043963712491277,0.6770884220810943,0.09300000000000001,0.11699999999999999,0.218,0.147,0.3
17031030701,47614,300000,1509,0.2621861152141802,0.12781954887218044,0.46766169154228854,0.8289623717217788,0.09300000000000001,0.1,0.19899999999999998,0.159,0.324
17031070103,78125,-666666666,1439,0.15149409312022238,0.008688783570300158,0.8722943722943723,0.9379982285208148,0.048,0.027999999999999997,0.09699999999999999,0.156,0.217
17031807100,146719,476000,3850,0.07922077922077922,0.02691131498470948,0.72890559732665,0.14004914004914004,0.051,0.091,0.147,0.11599999999999999,0.249
17031807200,97212,363400,6056,0.09180977542932629,0.07136150234741784,0.5142446732104381,0.15492227979274611,0.078,0.11599999999999999,0.207,0.129,0.254
17031807300,77307,290800,8095,0.050532573693336635,0.03302119270576639,0.5125975869410929,0.3782418322667565,0.075,0.114,0.212,0.126,0.243
17031807400,91926,385300,6960,0.07485632183908046,0.02402135231316726,0.4899415963659961,0.3396544458491361,0.084,0.10400000000000001,0.204,0.135,0.251
17031807500,141411,364000,3325,0.022556390977443608,0.07534597642234751,0.5495029821073558,0.09641873278236915,0.077,0.107,0.196,0.122,0.23199999999999998
17031807700,66984,311500,6151,0.19482842738656692,0.067374709591769,0.4998799519807923,0.2599736957474792,0.1,0.14400000000000002,0.268,0.142,0.281
17031807900,108351,559900,4345,0.049976969138645785,0.0170610897083104,0.6464471403812825,0.01630049610205528,0.061,0.11199999999999999,0.18899999999999997,0.113,0.228
17031808001,93958,418800,3584,0.04213169642857143,0.10595303113052977,0.5992932862190813,0.06724511930585683,0.06,0.107,0.188,0.109,0.209
17031808002,87460,403600,5339,0.06506391909940851,0.0980872976949485,0.5032154340836013,0.384,0.066,0.11800000000000001,0.207,0.11599999999999999,0.223
17031808301,77500,350800,6276,0.07991467016737774,0.045366795366795366,0.54428239272881,0.26452599388379205,0.08,0.13,0.237,0.124,0.243
17031808302,74539,326500,4707,0.1353833013025838,0.06323469801378193,0.5597826086956522,0.1905286343612335,0.07,0.11699999999999999,0.205,0.122,0.235
17031808600,156635,867600,2288,0.021853146853146852,0.023890784982935155,0.7378087397086763,0.2765460910151692,0.045,0.079,0.13699999999999998,0.11900000000000001,0.242
17031808702,56463,219900,5244,0.2097735399284863,0.1135718341851221,0.7282741738066095,0.28633405639913234,0.083,0.027999999999999997,0.162,0.22699999999999998,0.19399999999999998
17031770202,78727,266400,4557,0.17373737373737375,0.08348457350272233,0.34826883910386963,0.11194779116465864,0.083,0.125,0.23,0.146,0.292
17031770602,80568,300200,4586,0.14737320900614054,0.06914678528103518,0.19077306733167082,0.48282442748091603,0.187,0.11699999999999999,0.272,0.152,0.29
17031806104,50839,208100,4132,0.2306497540771421,0.1273209549071618,0.4357188093730209,0.7064425770308124,0.114,0.14,0.275,0.154,0.304
17031802506,92829,272200,2517,0.044293695131683956,0.09679334916864608,0.23861671469740633,0.3312577833125778,0.174,0.11800000000000001,0.258,0.152,0.305
17031802505,69221,230700,6371,0.11696471725471243,0.042806484295846,0.3245407442298634,0.6391990758567578,0.165,0.10099999999999999,0.242,0.153,0.282
17031802404,67905,184300,7492,0.1311497875839386,0.025112107623318385,0.29189379286091083,0.3620906801007557,0.14400000000000002,0.106,0.23399999999999999,0.142,0.284
17031803017,98125,380700,6125,0.08878351863963375,0.008009858287122612,0.5906354515050167,0.4095576619273302,0.077,0.091,0.177,0.133,0.255
17031804714,104286,310300,3269,0.061792597124502906,0.048731974142217804,0.50787728026534,0.22450532724505326,0.075,0.086,0.17300000000000001,0.136,0.257
17031804403,79203,266600,6895,0.04357965311179129,0.0770259427654453,0.3202959830866808,0.3556918359524722,0.134,0.11800000000000001,0.243,0.152,0.3
17031804406,72237,195800,5798,0.12248787248787249,0.05143578415904071,0.20165157165689931,0.14945652173913043,0.21,0.139,0.318,0.17,0.33899999999999997
17031804716,112725,351700,4599,0.03826918895412046,0.040123456790123455,0.5245009074410163,0.1694915254237288,0.07200000000000001,0.102,0.187,0.121,0.231
17031806201,69325,229700,5130,0.16627680311890838,0.058843890619591555,0.46541903986981287,0.26595744680851063,0.086,0.095,0.195,0.136,0.265
17031820606,96304,275300,3975,0.13886792452830188,0.04061810154525387,0.29274084124830396,0.2578397212543554,0.08900000000000001,0.102,0.201,0.15,0.292
17031820604,47577,174200,3546,0.2614213197969543,0.026352288488210817,0.08809419973833406,0.5469483568075117,0.141,0.11699999999999999,0.278,0.198,0.342
17031824116,74060,282000,5365,0.0754892823858341,0.061953097654882744,0.39862178637688844,0.5239533880017264,0.083,0.095,0.191,0.14800000000000002,0.282
17031824114,143071,379900,5223,0.06375646180356118,0.031487513572204126,0.5912506709608158,0.04373333333333333,0.055,0.091,0.161,0.13,0.257
17031823806,60241,183100,4203,0.11396621460861289,0.11738550466874166,0.20840012824623277,0.33165266106442576,0.096,0.102,0.217,0.165,0.301
17031824003,111438,409800,5995,0.02234732173319686,0.0458590006844627,0.3836793128131711,0.05868089233753637,0.059000000000000004,0.08800000000000001,0.166,0.139,0.264
17031824005,141287,429600,5749,0.02417811793355366,0.06517690875232775,0.39157841654059505,0.10837932764676367,0.063,0.086,0.16699999999999998,0.141,0.265
17031824122,125690,349400,5935,0.04886267902274642,0.027958387516254877,0.4075334694803721,0.008795074758135445,0.057999999999999996,0.095,0.172,0.139,0.267
17031804506,132679,354000,5248,0.07119237502431433,0.029528267915016206,0.5162695362541635,0.162406015037594,0.075,0.106,0.19699999999999998,0.129,0.251
17031824119,103354,382100,5332,0.002813203300825206,0.025918635170603676,0.4531288647044274,0.064343163538874,0.055999999999999994,0.10300000000000001,0.177,0.13,0.264
17031831900,125139,583000,3074,0.1398828887443071,0.025652173913043478,0.7936720142602496,0.639487870619946,0.055999999999999994,0.037000000000000005,0.111,0.156,0.24100000000000002
17031832600,201563,781500,4348,0.030128794848206072,0.051735874744724304,0.8656618610747051,0.4146341463414634,0.046,0.042,0.105,0.145,0.23399999999999999
17031836900,25650,234500,1994,0.7557673019057172,0.08832807570977919,0.3030592734225621,0.7783251231527094,0.162,0.188,0.385,0.233,0.496
17031841200,60498,273200,4414,0.12867228421771806,0.08068033144352377,0.2533951639615767,0.7938621887666474,0.256,0.10800000000000001,0.29100000000000004,0.17300000000000001,0.325
17031839500,-666666666,468300,1804,0.17329376854599407,0.07496823379923762,0.512326656394453,0.5554156171284634,0.087,0.162,0.24,0.14300000000000002,0.344
17031835800,79868,263800,1852,0.1771058315334773,0.15798319327731092,0.4182415776499589,0.5614035087719298,0.081,0.111,0.22699999999999998,0.179,0.39299999999999996
17031838800,29120,131500,3225,0.37075148113501716,0.12244897959183673,0.15195071868583163,0.6784452296819788,0.243,0.21600000000000003,0.42700000000000005,0.201,0.444
17031842300,167407,610700,3672,0.10729847494553377,0.06743238236383846,0.7733585858585859,0.49911920140927774,0.059000000000000004,0.059000000000000004,0.127,0.13699999999999998,0.26
17031841900,131803,393100,5983,0.16565481352992195,0.13768352365415987,0.62048,0.2858040201005025,0.079,0.044000000000000004,0.151,0.177,0.217
17031843200,66172,266800,2348,0.1789069171648164,0.07022106631989597,0.3397183098591549,0.723152709359606,0.205,0.114,0.266,0.152,0.336
17031843400,32404,200000,1209,0.22167080231596362,0.12903225806451613,0.0670995670995671,0.5346938775510204,0.187,0.165,0.32899999999999996,0.177,0.39899999999999997
17031842600,90521,288100,4540,0.19229074889867842,0.039285714285714285,0.3070661022468251,0.4435847840103159,0.146,0.114,0.257,0.157,0.297
17031803200,99556,386800,5024,0.07418335089567966,0.013796172674677348,0.4842354177614293,0.1586335985025737,0.061,0.1,0.195,0.12300000000000001,0.24600000000000002
17031803300,115946,349800,5629,0.07261078483715963,0.04754873006497342,0.6141588891418165,0.4395078605604921,0.066,0.091,0.174,0.13699999999999998,0.266
17031808900,183893,610800,4160,0.02991972756020433,0.01802990325417766,0.9023007669223074,0.08770917484131564,0.032,0.079,0.11599999999999999,0.10099999999999999,0.23600000000000002
17031809000,193500,784700,4044,0.043688019297775396,0.017231795441912175,0.8153214774281806,0.21688311688311687,0.039,0.091,0.14800000000000002,0.102,0.231
17031301803,36020,153800,3168,0.1398358585858586,0.12985179957657023,0.09499575911789652,0.7090606816292602,0.312,0.128,0.33299999999999996,0.162,0.349
17031809100,107000,611400,3287,0.05009334163036715,0.07337883959044368,0.7351308485329104,0.4265463917525773,0.045,0.09699999999999999,0.157,0.11900000000000001,0.265
17031809200,48839,282800,4857,0.21791967044284244,0.07834308869878433,0.30635245901639346,0.5470238095238096,0.126,0.138,0.268,0.17300000000000001,0.374
17031809300,43732,646100,4799,0.3204013377926421,0.029976580796252927,0.7069323370693233,0.7168643630737493,0.076,0.076,0.188,0.171,0.244
17031320101,119616,621500,8705,0.03601426763318375,0.05152354570637119,0.8082686647043082,0.5313616514489877,0.053,0.07200000000000001,0.134,0.11599999999999999,0.223
17031829904,80810,222100,4166,0.036725876140182426,0.11089108910891089,0.41146610928635413,0.09819247679531021,0.062,0.133,0.209,0.121,0.297
17031804204,149778,660000,5281,0.07861880608661724,0.028557599225556632,0.6940409131337089,0.12459720730397422,0.047,0.09699999999999999,0.159,0.114,0.239
17031804316,110667,321900,4514,0.06136464333185645,0.03533278553820871,0.3787833383278394,0.05835380835380835,0.09699999999999999,0.111,0.21899999999999997,0.135,0.261
17031804514,111713,354200,5381,0.02787585950566809,0.03699284009546539,0.5111172110897612,0.19905493207324276,0.07200000000000001,0.098,0.187,0.126,0.243
17031330103,125175,384900,8471,0.1075644423030595,0.0,0.8404873996122958,0.5517456359102244,0.054000000000000006,0.068,0.13699999999999998,0.134,0.271
17031380600,25455,302100,4025,0.376629889669007,0.1656019656019656,0.3334605112552461,0.7482552342971087,0.124,0.166,0.321,0.19699999999999998,0.426
